Rank,Title,Year,IMDb Rating,Votes,Genre,Runtime
1,The Shawshank Redemption,1994,8.708,27655,"Drama, Crime",142
2,The Godfather,1972,8.688,20970,"Drama, Crime",175
3,The Godfather Part II,1974,8.57,12656,"Drama, Crime",202
4,Schindler's List,1993,8.567,16109,"Drama, History, War",195
5,12 Angry Men,1957,8.546,8847,Drama,97
6,Spirited Away,2001,8.538,16786,"Animation, Family, Fantasy",125
7,Dilwale Dulhania Le Jayenge,1995,8.522,4458,"Comedy, Drama, Romance",190
8,The Dark Knight,2008,8.5,33346,"Drama, Action, Crime, Thriller",152
9,The Green Mile,1999,8.507,17756,"Fantasy, Drama, Crime",189
10,Parasite,2019,8.502,18600,"Comedy, Thriller, Drama",133
11,Pulp Fiction,1994,8.5,28267,"Thriller, Crime",154
12,Your Name.,2016,8.5,11560,"Animation, Romance, Drama",106
13,The Lord of the Rings: The Return of the King,2003,8.483,24596,"Adventure, Fantasy, Action",201
14,Forrest Gump,1994,8.469,27790,"Comedy, Drama, Romance",142
15,"The Good, the Bad and the Ugly",1966,8.462,8780,Western,161
16,Seven Samurai,1954,8.457,3780,"Action, Drama",207
17,GoodFellas,1990,8.458,13072,"Drama, Crime",145
18,Grave of the Fireflies,1988,8.5,5692,"Animation, Drama, War",89
19,Interstellar,2014,8.4,36386,"Adventure, Drama, Science Fiction",169
20,Life Is Beautiful,1997,8.448,13168,"Comedy, Drama",116
21,Cinema Paradiso,1988,8.445,4439,"Drama, Romance",124
22,Fight Club,1999,8.438,29782,Drama,139
23,Impossible Things,2021,8.4,393,"Family, Drama",88
24,A Dog's Will,2000,8.4,1129,"Comedy, Drama, Fantasy",104
25,City of God,2002,8.425,7491,"Drama, Crime",129
26,Psycho,1960,8.424,10184,"Horror, Thriller, Mystery",109
27,The Lord of the Rings: The Fellowship of the Ring,2001,8.418,25551,"Adventure, Fantasy, Action",179
28,Once Upon a Time in America,1984,8.418,5477,"Drama, Crime",229
29,One Flew Over the Cuckoo's Nest,1975,8.414,10575,Drama,133
30,Gabriel's Inferno,2020,8.4,2416,"Romance, Drama",122
31,Harakiri,1962,8.411,1030,"Action, Drama, History",135
32,Howl's Moving Castle,2004,8.402,10068,"Fantasy, Animation, Adventure",119
33,Primal: Tales of Savagery,2019,8.401,324,"Action, Adventure, Animation, Drama",85
34,The Lord of the Rings: The Two Towers,2002,8.4,22177,"Adventure, Fantasy, Action",179
35,Spider-Man: Into the Spider-Verse,2018,8.4,15859,"Animation, Action, Adventure, Science Fiction",117
36,The Empire Strikes Back,1980,8.4,17149,"Adventure, Action, Science Fiction",124
37,Gabriel's Inferno: Part II,2020,8.383,1519,"Romance, Drama",106
38,A Silent Voice: The Movie,2016,8.4,4020,"Animation, Drama, Romance",129
39,Hope,2013,8.4,749,Drama,122
40,The Pianist,2002,8.4,9312,"Drama, War",150
41,Gabriel's Inferno: Part III,2020,8.378,1057,"Romance, Drama",102
42,Whiplash,2014,8.378,15352,"Drama, Music",107
43,Se7en,1995,8.4,21334,"Crime, Mystery, Thriller",127
44,Radical,2023,8.4,437,Drama,126
45,Inception,2010,8.4,36985,"Action, Science Fiction, Adventure",148
46,Flow,2024,8.4,1035,"Animation, Fantasy, Adventure",85
47,The Quintessential Quintuplets Movie,2022,8.356,400,"Animation, Comedy, Romance",136
48,The Wild Robot,2024,8.4,4211,"Animation, Action, Science Fiction, Family",102
49,The Legend of Hei,2019,8.356,378,"Animation, Fantasy, Action",102
50,Spider-Man: Across the Spider-Verse,2023,8.352,7257,"Animation, Action, Adventure, Science Fiction",140
51,Rear Window,1954,8.3,6572,"Thriller, Mystery",112
52,The Silence of the Lambs,1991,8.3,16513,"Crime, Drama, Thriller",119
53,American History X,1998,8.341,11687,Drama,119
54,Dou kyu sei – Classmates,2016,8.338,397,"Romance, Animation",61
55,High and Low,1963,8.333,936,"Drama, Crime, Mystery",142
56,Princess Mononoke,1997,8.334,8141,"Adventure, Fantasy, Animation",134
57,Back to the Future,1985,8.317,20192,"Adventure, Comedy, Science Fiction",116
58,A Brighter Summer Day,1991,8.3,326,"Crime, Drama, Romance",237
59,Dedicated to my ex,2019,8.3,502,"Drama, Comedy",94
60,Ikiru,1952,8.3,1163,Drama,143
61,Dead Poets Society,1989,8.304,11436,Drama,128
62,Léon: The Professional,1994,8.305,14967,"Crime, Drama, Action",111
63,Perfect Blue,1998,8.305,2715,"Animation, Thriller",82
64,The Great Dictator,1940,8.3,3405,"Comedy, War",125
65,Sunset Boulevard,1950,8.3,2621,Drama,110
66,Once Upon a Studio,2023,8.293,362,"Animation, Family, Fantasy, Comedy",9
67,"Josee, the Tiger and the Fish",2020,8.3,482,"Animation, Drama, Romance",98
68,Hotarubi no Mori e,2011,8.286,1119,"Romance, Animation, Fantasy",45
69,Once Upon a Time in the West,1968,8.286,4413,"Drama, Western",166
70,Neon Genesis Evangelion: The End of Evangelion,1997,8.3,1636,"Animation, Science Fiction, Action, Drama",87
71,Given,2020,8.289,393,"Animation, Drama, Music, Romance",60
72,Modern Times,1936,8.282,3732,"Comedy, Drama, Romance",87
73,We All Loved Each Other So Much,1974,8.3,575,"Drama, Comedy",124
74,City Lights,1931,8.275,2202,"Comedy, Drama, Romance",87
75,The Intouchables,2011,8.274,17394,"Drama, Comedy",113
76,It's a Wonderful Life,1946,8.3,4423,"Drama, Family, Fantasy",130
77,Apocalypse Now,1979,8.272,8325,"Drama, War",147
78,Taylor Swift: Reputation Stadium Tour,2018,8.3,396,Music,125
79,Miracle in Cell No. 7,2019,8.3,4425,Drama,132
80,Paths of Glory,1957,8.26,2962,"War, Drama, History",88
81,The Legend of 1900,1998,8.3,2277,"Drama, Music",170
82,The Lion King,1994,8.255,18516,"Family, Animation, Drama",89
83,TAYLOR SWIFT | THE ERAS TOUR,2023,8.3,429,Music,169
84,Violet Evergarden: The Movie,2020,8.3,415,"Animation, Fantasy, Romance, Drama",140
85,Oldboy,2003,8.255,8814,"Drama, Thriller, Mystery, Action",120
86,Clouds,2020,8.25,1009,"Music, Drama, Romance",121
87,Come and See,1985,8.252,1536,"Drama, War",142
88,"The Boy, the Mole, the Fox and the Horse",2022,8.244,602,"Animation, Family, Adventure, Fantasy",35
89,Life in a Year,2020,8.247,1894,"Drama, Romance",107
90,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,8.2,822,"Animation, Action, Science Fiction, Drama",155
91,Le Trou,1960,8.245,488,"Drama, Thriller, Crime",132
92,Rascal Does Not Dream of a Dreaming Girl,2019,8.2,527,"Animation, Romance, Drama, Fantasy",90
93,Five Feet Apart,2019,8.2,5665,"Romance, Drama",116
94,Avengers: Endgame,2019,8.242,25959,"Adventure, Science Fiction, Action",181
95,Klaus,2019,8.242,4182,"Animation, Family, Adventure, Comedy, Fantasy",96
96,Green Book,2018,8.24,11778,"Drama, History",130
97,Avengers: Infinity War,2018,8.239,30115,"Adventure, Action, Science Fiction",149
98,I Want to Eat Your Pancreas,2018,8.2,1577,"Animation, Drama, Romance",108
99,Mommy,2014,8.235,2730,Drama,138
100,Out of the Clear Blue Sky,2019,8.232,353,"Comedy, Drama, Music",112
101,Wolf Children,2012,8.224,2301,"Animation, Family, Drama, Fantasy",117
102,Il Sorpasso,1962,8.2,767,"Drama, Comedy",105
103,The Matrix,1999,8.221,25990,"Action, Science Fiction",136
104,Puss in Boots: The Last Wish,2022,8.22,7982,"Animation, Adventure, Fantasy, Comedy, Family",103
105,Woman in the Dunes,1964,8.217,458,"Drama, Thriller",147
106,Wolfwalkers,2020,8.219,1211,"Animation, Family, Adventure, Fantasy",103
107,Saving Private Ryan,1998,8.2,16009,"Drama, History, War",169
108,Justice League Dark: Apokolips War,2020,8.2,1472,"Animation, Action, Science Fiction",90
109,Gladiator,2000,8.2,19304,"Action, Drama, Adventure",155
110,Inglourious Basterds,2009,8.216,22504,"Drama, Thriller, War",153
111,Ultraman: Rising,2024,8.215,300,"Animation, Science Fiction, Family, Action",117
112,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,8.213,3993,"Animation, Action, Fantasy, Thriller",117
113,The Shining,1980,8.213,17675,"Horror, Thriller",144
114,The Help,2011,8.2,8392,Drama,146
115,Witness for the Prosecution,1957,8.21,1436,"Drama, Mystery, Crime",116
116,The Handmaiden,2016,8.208,3812,"Thriller, Drama, Romance",145
117,Coco,2017,8.207,19713,"Family, Animation, Music, Adventure",105
118,The Prestige,2006,8.204,16239,"Drama, Mystery, Science Fiction",130
119,Star Wars,1977,8.2,20848,"Adventure, Action, Science Fiction",121
120,Shutter Island,2010,8.201,24197,"Drama, Thriller, Mystery",138
121,The Art of Racing in the Rain,2019,8.2,1502,"Drama, Romance",109
122,Michael Jackson's Thriller,1983,8.2,688,"Horror, Music, Mystery",14
123,Hacksaw Ridge,2016,8.195,13897,"Drama, History, War",139
124,The Apartment,1960,8.194,2355,"Comedy, Drama, Romance",125
125,My Mom Is a Character 3,2019,8.192,475,Comedy,111
126,Maquia: When the Promised Flower Blooms,2018,8.2,637,"Animation, Fantasy, Drama, Adventure",115
127,Doctor Who: The Day of the Doctor,2013,8.2,750,"Science Fiction, Adventure",77
128,Top Gun: Maverick,2022,8.189,9529,"Action, Drama",131
129,A Clockwork Orange,1971,8.188,12972,"Science Fiction, Crime",137
130,Violet Evergarden: Eternity and the Auto Memory Doll,2019,8.186,376,"Drama, Fantasy, Animation",91
131,The Seventh Seal,1957,8.2,3027,"Fantasy, Drama",96
