Rank,Title,Type,Premiere,Genre,Watchtime_M
14,The Mother,Movie,2023.0,Thriller,249.9
20,Luther: The Fallen Sun,Movie,2023.0,Crime,209.7
23,Extraction 2,Movie,2023.0,Action,201.8
29,You People,Movie,2023.0,Comedy,181.8
33,Murder Mystery 2,Movie,2023.0,Comedy,173.6
37,Your Place or Mine,Movie,2023.0,Comedy,163.0
52,Glass Onion: A Knives Out Mystery,Movie,2022.0,Crime,142.9
69,We Have a Ghost,Movie,2023.0,Adventure,124.4
72,The Pale Blue Eye,Movie,2023.0,Crime,120.5
74,AKA,Movie,2023.0,Action,120.0
97,Minions: The Rise of Gru,Movie,2022.0,Animation,96.4
110,Hunger,Movie,2023.0,Drama,92.3
118,Murder Mystery,Movie,2019.0,Comedy,87.9
123,Extraction,Movie,2020.0,Action,86.1
132,The Last Kingdom: Seven Kings Must Die,Movie,2023.0,History,83.2
141,Roald Dahl's Matilda the Musical,Movie,2022.0,Musical,81.0
143,Sing,Movie,2016.0,Animation,80.5
145,All Quiet on the Western Front,Movie,2022.0,War,80.0
149,Chupa,Movie,2023.0,Adventure,77.8
151,PAW Patrol: The Movie,Movie,2021.0,Animation,77.2
152,Sing 2,Movie,2021.0,Animation,76.6
157,The Boss Baby,Movie,2017.0,Animation,75.1
159,Trolls,Movie,2016.0,Animation,73.4
180,Kill Boksoon,Movie,2023.0,Thriller,68.5
183,Red Notice,Movie,2021.0,Action,68.1
187,Viking Wolf,Movie,2022.0,Horror,67.5
190,Hotel Transylvania 2,Movie,2015.0,Animation,67.0
199,Jumanji: The Next Level,Movie,2019.0,Adventure,64.3
207,Narvik,Movie,2022.0,War,63.1
208,Home,Movie,2015.0,Animation,62.8
209,The Sea Beast,Movie,2022.0,Animation,62.7
214,Dog Gone,Movie,2023.0,Drama,61.6
217,A Man Called Otto,Movie,2022.0,Drama,61.3
232,The Gray Man,Movie,2022.0,Action,58.3
234,One Piece Episode of East Blue,Movie,2017.0,Animation,57.8
242,True Spirit,Movie,2023.0,Adventure,56.7
245,The Strays,Movie,2023.0,Thriller,56.5
247,The Croods,Movie,2013.0,Animation,56.4
250,Matilda,Movie,1996.0,Comedy,55.7
265,¡Que viva México!,Movie,2022.0,Comedy,53.5
271,We Can Be Heroes,Movie,2020.0,Adventure,52.8
278,The Lorax,Movie,2012.0,Animation,52.0
280,A Tourist’s Guide to Love,Movie,2023.0,Comedy,51.8
283,Faraway,Movie,2023.0,Comedy,51.7
284,Blood & Gold,Movie,2023.0,Action,51.6
293,Faithfully Yours,Movie,2022.0,Thriller,50.6
297,2 Hearts,Movie,2020.0,Romance,50.0
299,Tin & Tina,Movie,2023.0,Horror,49.7
315,The Magician's Elephant,Movie,2023.0,Animation,48.3
317,Shrek,Movie,2001.0,Animation,48.1
322,Shrek 2,Movie,2004.0,Animation,47.5
323,JUNG_E,Movie,2023.0,Science Fiction,47.1
325,The School for Good and Evil,Movie,2022.0,Fantasy,46.9
326,Puss in Boots,Movie,2011.0,Animation,46.6
339,A Beautiful Life,Movie,2023.0,Drama,45.7
352,The Woman King,Movie,2022.0,History,44.9
365,F9,Movie,2021.0,Action,43.7
377,Through My Window: Across the Sea,Movie,2023.0,Comedy,42.9
382,Purple Hearts,Movie,2022.0,Romance,42.7
