Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
14,The Mother,Movie,2023.0,Thriller,"249,900,000",249.9M
20,Luther: The Fallen Sun,Movie,2023.0,Crime,"209,700,000",209.7M
23,Extraction 2,Movie,2023.0,Action,"201,800,000",201.8M
29,You People,Movie,2023.0,Comedy,"181,800,000",181.8M
33,Murder Mystery 2,Movie,2023.0,Comedy,"173,600,000",173.6M
37,Your Place or Mine,Movie,2023.0,Comedy,"163,000,000",163.0M
52,Glass Onion: A Knives Out Mystery,Movie,2022.0,Crime,"142,900,000",142.9M
69,We Have a Ghost,Movie,2023.0,Adventure,"124,400,000",124.4M
72,The Pale Blue Eye,Movie,2023.0,Crime,"120,500,000",120.5M
74,AKA,Movie,2023.0,Action,"120,000,000",120.0M
97,Minions: The Rise of Gru,Movie,2022.0,Animation,"96,400,000",96.4M
110,Hunger,Movie,2023.0,Drama,"92,300,000",92.3M
118,Murder Mystery,Movie,2019.0,Comedy,"87,900,000",87.9M
123,Extraction,Movie,2020.0,Action,"86,100,000",86.1M
132,The Last Kingdom: Seven Kings Must Die,Movie,2023.0,History,"83,200,000",83.2M
141,Roald Dahl's Matilda the Musical,Movie,2022.0,Musical,"81,000,000",81.0M
143,Sing,Movie,2016.0,Animation,"80,500,000",80.5M
145,All Quiet on the Western Front,Movie,2022.0,War,"80,000,000",80.0M
149,Chupa,Movie,2023.0,Adventure,"77,800,000",77.8M
151,PAW Patrol: The Movie,Movie,2021.0,Animation,"77,200,000",77.2M
152,Sing 2,Movie,2021.0,Animation,"76,600,000",76.6M
157,The Boss Baby,Movie,2017.0,Animation,"75,100,000",75.1M
159,Trolls,Movie,2016.0,Animation,"73,400,000",73.4M
180,Kill Boksoon,Movie,2023.0,Thriller,"68,500,000",68.5M
183,Red Notice,Movie,2021.0,Action,"68,100,000",68.1M
187,Viking Wolf,Movie,2022.0,Horror,"67,500,000",67.5M
190,Hotel Transylvania 2,Movie,2015.0,Animation,"67,000,000",67.0M
199,Jumanji: The Next Level,Movie,2019.0,Adventure,"64,300,000",64.3M
207,Narvik,Movie,2022.0,War,"63,100,000",63.1M
208,Home,Movie,2015.0,Animation,"62,800,000",62.8M
209,The Sea Beast,Movie,2022.0,Animation,"62,700,000",62.7M
214,Dog Gone,Movie,2023.0,Drama,"61,600,000",61.6M
217,A Man Called Otto,Movie,2022.0,Drama,"61,300,000",61.3M
232,The Gray Man,Movie,2022.0,Action,"58,300,000",58.3M
234,One Piece Episode of East Blue,Movie,2017.0,Animation,"57,800,000",57.8M
242,True Spirit,Movie,2023.0,Adventure,"56,700,000",56.7M
245,The Strays,Movie,2023.0,Thriller,"56,500,000",56.5M
247,The Croods,Movie,2013.0,Animation,"56,400,000",56.4M
250,Matilda,Movie,1996.0,Comedy,"55,700,000",55.7M
265,¡Que viva México!,Movie,2022.0,Comedy,"53,500,000",53.5M
271,We Can Be Heroes,Movie,2020.0,Adventure,"52,800,000",52.8M
278,The Lorax,Movie,2012.0,Animation,"52,000,000",52.0M
280,A Tourist’s Guide to Love,Movie,2023.0,Comedy,"51,800,000",51.8M
283,Faraway,Movie,2023.0,Comedy,"51,700,000",51.7M
284,Blood & Gold,Movie,2023.0,Action,"51,600,000",51.6M
293,Faithfully Yours,Movie,2022.0,Thriller,"50,600,000",50.6M
297,2 Hearts,Movie,2020.0,Romance,"50,000,000",50.0M
299,Tin & Tina,Movie,2023.0,Horror,"49,700,000",49.7M
315,The Magician's Elephant,Movie,2023.0,Animation,"48,300,000",48.3M
317,Shrek,Movie,2001.0,Animation,"48,100,000",48.1M
322,Shrek 2,Movie,2004.0,Animation,"47,500,000",47.5M
323,JUNG_E,Movie,2023.0,Science Fiction,"47,100,000",47.1M
325,The School for Good and Evil,Movie,2022.0,Fantasy,"46,900,000",46.9M
326,Puss in Boots,Movie,2011.0,Animation,"46,600,000",46.6M
339,A Beautiful Life,Movie,2023.0,Drama,"45,700,000",45.7M
352,The Woman King,Movie,2022.0,History,"44,900,000",44.9M
365,F9,Movie,2021.0,Action,"43,700,000",43.7M
377,Through My Window: Across the Sea,Movie,2023.0,Comedy,"42,900,000",42.9M
382,Purple Hearts,Movie,2022.0,Romance,"42,700,000",42.7M
387,Guillermo del Toro's Pinocchio,Movie,2022.0,Animation,"42,500,000",42.5M
388,Unlocked,Movie,2023.0,Crime,"42,500,000",42.5M
394,"Pamela, A Love Story",Movie,2023.0,Documentary,"41,800,000",41.8M
395,Chor Nikal Ke Bhaga,Movie,2023.0,Crime,"41,700,000",41.7M
399,White Chicks,Movie,2004.0,Comedy,"41,400,000",41.4M
404,Turbo,Movie,2013.0,Animation,"41,100,000",41.1M
407,Bloodshot,Movie,2020.0,Science Fiction,"40,900,000",40.9M
417,Shrek Forever After,Movie,2010.0,Animation,"40,300,000",40.3M
433,Infiesto,Movie,2023.0,Crime,"39,500,000",39.5M
437,The Hunger Games,Movie,2012.0,Science Fiction,"39,300,000",39.3M
444,Shark Tale,Movie,2004.0,Animation,"38,700,000",38.7M
445,The Hatchet Wielding Hitchhiker,Movie,2023.0,Documentary,"38,700,000",38.7M
446,6 Underground,Movie,2019.0,Action,"38,600,000",38.6M
450,Mother's Day,Movie,2023.0,Action,"38,300,000",38.3M
463,Back to the Outback,Movie,2021.0,Animation,"37,600,000",37.6M
472,2 Guns,Movie,2013.0,Action,"37,100,000",37.1M
473,"Lyle, Lyle, Crocodile",Movie,2022.0,Family,"37,100,000",37.1M
476,Queens on the Run,Movie,2023.0,Comedy,"37,100,000",37.1M
479,The Mitchells vs. The Machines,Movie,2021.0,Animation,"36,900,000",36.9M
487,Troll,Movie,2022.0,Science Fiction,"36,600,000",36.6M
491,Chris Rock: Selective Outrage,Movie,2023.0,Stand-Up,"36,200,000",36.2M
493,Grown Ups,Movie,2010.0,Comedy,"36,200,000",36.2M
494,Let Him Go,Movie,2020.0,Crime,"36,200,000",36.2M
498,A Quiet Place Part II,Movie,2021.0,Horror,"36,000,000",36.0M
501,Hotel Transylvania,Movie,2012.0,Animation,"35,900,000",35.9M
504,Missing,Movie,2023.0,Thriller,"35,800,000",35.8M
510,Wish Dragon,Movie,2021.0,Animation,"35,400,000",35.4M
519,Bad Boys for Life,Movie,2020.0,Action,"34,900,000",34.9M
527,Bullet Train,Movie,2022.0,Action,"34,400,000",34.4M
535,Jurassic World,Movie,2015.0,Science Fiction,"34,000,000",34.0M
538,Prisoners,Movie,2013.0,Thriller,"33,900,000",33.9M
547,White Noise,Movie,2022.0,Drama,"33,500,000",33.5M
558,Through My Window,Movie,2022.0,Comedy,"33,000,000",33.0M
563,The Bad Guys,Movie,2022.0,Animation,"32,700,000",32.7M
573,Shooter,Movie,2007.0,Thriller,"32,300,000",32.3M
578,Me Time,Movie,2022.0,Comedy,"32,100,000",32.1M
579,My Name Is Vendetta,Movie,2022.0,Thriller,"32,100,000",32.1M
582,Pitch Perfect,Movie,2012.0,Musical,"31,900,000",31.9M
586,Over the Hedge,Movie,2006.0,Animation,"31,700,000",31.7M
590,The SpongeBob Movie: Sponge on the Run,Movie,2020.0,Animation,"31,400,000",31.4M
593,Mission Majnu,Movie,2023.0,Action,"31,200,000",31.2M
595,Bad Boys II,Movie,2003.0,Action,"31,100,000",31.1M
599,Where the Crawdads Sing,Movie,2022.0,Crime,"31,000,000",31.0M
605,Still Time,Movie,2022.0,Comedy,"30,800,000",30.8M
608,Enola Holmes 2,Movie,2022.0,Adventure,"30,600,000",30.6M
612,Minions & More Volume 2,Movie,2022.0,Animation,"30,500,000",30.5M
617,Love at First Kiss,Movie,2023.0,Comedy,"30,300,000",30.3M
620,Tonight You're Sleeping with Me,Movie,2023.0,Romance,"30,300,000",30.3M
624,The Adam Project,Movie,2022.0,Science Fiction,"30,100,000",30.1M
628,In His Shadow,Movie,2023.0,Crime,"30,100,000",30.1M
630,Penguins of Madagascar,Movie,2014.0,Animation,"30,100,000",30.1M
631,Sniper: Ghost Shooter,Movie,2016.0,Action,"30,100,000",30.1M
632,Spenser Confidential,Movie,2020.0,Crime,"30,100,000",30.1M
634,I See You,Movie,2019.0,Crime,"30,000,000",30.0M
635,The Good Nurse,Movie,2022.0,Thriller,"30,000,000",30.0M
645,Mrs. Chatterjee Vs Norway,Movie,2023.0,Drama,"29,600,000",29.6M
653,Noah,Movie,2014.0,Drama,"29,500,000",29.5M
654,RRR,Movie,2022.0,Action,"29,400,000",29.4M
655,Yes Day,Movie,2021.0,Comedy,"29,400,000",29.4M
656,You Do You,Movie,2023.0,Comedy,"29,400,000",29.4M
666,Day Shift,Movie,2022.0,Fantasy,"29,000,000",29.0M
671,The Man From Toronto,Movie,2022.0,Action,"28,900,000",28.9M
672,Trolls World Tour,Movie,2020.0,Animation,"28,900,000",28.9M
675,The Irishman,Movie,2019.0,Drama,"28,800,000",28.8M
676,The Swimmers,Movie,2022.0,Sports,"28,800,000",28.8M
687,Honest Thief,Movie,2020.0,Action,"28,300,000",28.3M
689,Transformers: Revenge of the Fallen,Movie,2009.0,Science Fiction,"28,300,000",28.3M
692,The Hunger Games: Catching Fire,Movie,2013.0,Science Fiction,"28,200,000",28.2M
694,Army of Thieves,Movie,2021.0,Action,"28,100,000",28.1M
695,Fifty Shades Darker,Movie,2017.0,Romance,"28,100,000",28.1M
696,The Deep End of the Ocean,Movie,1999.0,Drama,"28,100,000",28.1M
697,The Hangover,Movie,2009.0,Comedy,"28,100,000",28.1M
698,The Old Guard,Movie,2020.0,Action,"28,100,000",28.1M
699,Transformers: Dark of the Moon,Movie,2011.0,Science Fiction,"28,100,000",28.1M
704,The Angry Birds Movie,Movie,2016.0,Animation,"28,000,000",28.0M
707,Harry Potter and the Philosopher's Stone,Movie,2001.0,Fantasy,"27,900,000",27.9M
708,How I Became a Gangster,Movie,2019.0,Crime,"27,900,000",27.9M
725,Kung Fu Panda 3,Movie,2016.0,Animation,"27,600,000",27.6M
